Wavenumber,COMP1,COMP2,COMP3,COMP4
1469.681641,13774.689290377819,1472708228.2407925,191785646055.57715,278.556997023131
1468.03125,14789.469660761155,1730738495.6534503,196667975520.94186,315.8968599948143
1466.378906,15755.54912505034,1944982603.3225884,204502000509.39215,340.9303497824529
1464.726563,16496.28641956096,2058412277.2454033,212688723739.4028,339.49333175679584
1463.074219,17132.833336988482,2115559988.0101478,218916391355.3591,324.07598298123736
1461.421875,17717.314078923126,2154406386.1011486,223456400175.37283,305.94439291294924
1459.769531,18437.008882134636,2201026584.8049483,226931092804.90756,291.18235343088554
1458.115234,19533.106392357287,2298263719.0051293,229581497460.71777,290.2790452917843
1456.460938,20698.419761384757,2414781126.3262286,231115406853.54272,297.95780132634246
1454.808594,21754.316079536853,2524367106.804743,232301861773.95743,308.3862464474386
1453.152344,22343.499869425432,2606379185.897386,230499004357.15662,321.09470642592845
1451.498047,21978.904129419352,2628365149.9586864,223055480430.59958,333.6446642952276
1449.84375,21171.676303382246,2621838450.398598,213966689644.67374,347.45377669860454
1448.1875,20384.874429051793,2607685472.2839613,204634404237.17017,362.01092734892336
1446.53125,19830.48840843745,2619227928.758778,202004319692.94427,382.48402211648374
1444.875,19916.3296010301,2702535403.327132,214465867715.20563,414.80877560470304
1443.21875,20423.45273185398,2806975537.3802166,232808070151.58762,448.63461568323453
1441.5625,20948.480397186053,2892111401.613613,250518629508.43292,478.36205239864705
1439.904297,21817.288286349747,2920724465.861876,259043463357.19302,490.19530749226243
1438.248047,23320.855012727192,2838262523.084125,246748646210.57922,466.59734683177544
1436.589844,24847.38725387319,2686248684.645207,222976388822.0276,424.8925134485657
1434.931641,25952.60279584,2504760488.5347433,195145922697.7576,379.7256646841015
1433.273438,26205.934770169588,2312185529.035436,170426544757.23822,341.57444169432046
1431.613281,24964.520398323835,2141552804.9765334,159344444814.95935,327.3231253978633
1429.955078,22684.170771159956,1979682827.8846912,153664734448.11172,326.8920415353678
1428.294922,20075.19474804168,1818862432.7242002,148227215707.90033,328.8561325998662
1426.634766,16731.775178270662,1646390588.1626992,134304408681.98262,334.29020047873735
1424.974609,12389.285679610406,1441023937.169679,99667262216.48318,340.0543605755083
1423.3125,7990.3886650939985,1243549800.9952276,58801638276.50096,345.9479814911794
1421.652344,4033.4251639741033,1082016484.0716784,22260823016.544502,354.2659441556714
1419.990234,1796.082472383288,997085722.0104302,2820833997.7776203,359.6562079930249
1418.328125,2848.4355420393476,1043672115.7986428,18550198125.935944,357.0155082537004
1416.666016,5913.540962365392,1170629919.0375814,53423381252.77965,350.2000013728222
1415.003906,9816.365045457973,1325564952.183793,92475697632.95709,341.21353551577954
1413.341797,14008.660839759508,1495371361.4940104,128747707038.0926,334.391624684027
1411.677734,17469.83146232233,1647990861.0098896,149331160523.67908,335.41103254251993
1410.015625,20523.17807861689,1781981072.5029988,160386729971.49246,339.41591311525497
1408.351563,23579.46213557247,1913223918.345539,169994760642.23044,343.9213450420437
1406.6875,26408.359984331553,1998317444.709451,175129987414.63724,342.6622383413255
1405.021484,28978.607685746847,1996166302.7246766,175535023347.5599,327.45522838954946
1403.357422,31107.50030380966,1949479201.0354443,172766028929.3009,307.65395624083976
1401.691406,32631.583939491313,1884424160.9269853,166685994210.8946,289.41713809432014
1400.025391,33419.26353633683,1846421985.2210615,160835298503.32422,282.2325576244576
1398.359375,33275.05480007715,1897016748.5242436,159270424429.79,299.1459398708827
1396.693359,32536.43737987903,1987967158.1375241,159840982362.39673,327.6077945438444
1395.027344,31652.9815069247,2080274923.5384324,160922115121.11575,356.6755531465334
1393.359375,30581.71808018592,2145888692.0251486,161843444921.196,379.42216818383804
1391.693359,29346.69038159531,2137344174.9320645,160961307334.4228,384.33448821595323
1390.025391,28418.52513365672,2095319899.0811298,159776627519.64075,378.46273560112394
1388.357422,28024.546026205207,2057817617.3010807,159588411643.59717,369.86625632335597
1386.6875,28789.664223586802,2040576524.6769671,161066199246.797,358.1645692679412
1385.019531,31509.99155258965,2075274072.5965188,165504150498.5843,345.7766667128829
1383.349609,35405.16596813867,2137728773.8093638,171370482977.6948,332.9994818926169
1381.681641,39535.33005159325,2197457616.711417,176881885491.6813,318.95764441501757
1380.011719,44016.56764276588,2259617264.8450923,182020247554.84903,306.1347187240982
1378.339844,48721.09388318163,2320611784.324054,186289446528.45657,296.8558880228404
1376.669922,52929.33538909953,2369434134.2562857,189116822763.5618,290.6401178938512
1375.0,56428.16673898827,2406480477.143438,190765873563.42892,286.868717214373
1373.328125,57857.66450720979,2404852202.7230463,189360181482.54785,286.35132635649813
1371.65625,55645.42252961041,2334898282.2021503,182844143842.74442,289.66321819634015
1369.984375,51284.623076934426,2225128458.5626597,173710010889.04965,295.32081428134825
1368.3125,46096.47013956323,2097441909.8272269,163965331782.6386,301.75881347818984
1366.638672,40868.75468761297,1974020719.9741492,155354995365.98566,308.4241238855824
1364.966797,36912.0778013515,1886959601.7991593,150508554513.9419,314.3515875242174
1363.292969,33811.95852266549,1817979450.5307524,148111541299.27966,318.57218496691905
1361.619141,31017.6522376534,1752785972.446908,146521493806.23178,321.0988844901982
1359.945313,28847.84216793081,1680938691.7297862,146375675094.74066,319.31385365312553
1358.269531,27398.02074418393,1583198230.9143512,147684203751.64978,310.2961319038365
1356.595703,26648.922117949187,1483046522.0274396,149885033955.8041,297.2930896129109
1354.919922,26524.258577285247,1398871931.1258154,153063270031.59384,283.2190292007906
1353.244141,27185.4210168576,1347597035.386269,155537037822.1045,269.64326389875896
1351.568359,28793.37648640691,1355400122.911534,155490165176.4631,259.351064915447
1349.892578,30777.459733387866,1396415128.8461618,154419736212.6308,251.59162299036342
1348.216797,32727.61005947006,1441787785.1961749,153043575369.25314,244.57660860229998
1346.539063,34011.54133067424,1490249616.8057194,153272188282.7855,240.8581870968232
1344.861328,33824.743132393065,1530843066.3642316,157625988192.0801,242.47055151850716
1343.183594,32678.382220825864,1556982555.2888546,163389374436.8828,246.67768973356334
1341.505859,31113.538283276084,1576927683.00797,168715381317.48914,252.39599858808128
1339.828125,29188.289508307127,1554658622.9074383,171047895028.91083,255.10527645005953
1338.148438,27162.629050604446,1453182197.800567,166824591258.73257,249.37627786167872
1336.46875,25104.732185450564,1315932283.72578,159404259995.92734,240.08548614571538
1334.791016,23018.81888346158,1169646519.6346843,151686255695.35294,230.19917447504017
1333.111328,21134.392264915463,1063036974.9901254,145658771695.593,224.89211600781945
1331.429688,19658.016916366363,1060049965.6791265,144504235773.52277,231.29077705232575
1329.75,18642.446296928574,1108353935.1332352,146192928900.0825,242.21455816760164
1328.068359,18119.61665911999,1167842117.7947435,148710459640.5078,252.18053376005184
1326.386719,18186.763344494408,1200385942.2557871,151448827369.02597,255.71880500706055
1324.705078,18935.87274218955,1147444247.093393,152936888782.84467,244.74083122699238
1323.023438,20245.150178150245,1059878735.0636858,154209312197.48233,226.2245412487168
1321.341797,21902.879842166196,979660217.2385823,156156888608.43906,206.66919335946503
1319.658203,23983.425328918984,939149784.9120934,159160779420.18185,189.45560724610033
1317.976563,26556.468174707905,990438909.8448014,164280979567.1798,180.3181223002426
1316.292969,29186.031657594518,1087045464.1640534,169744636999.28223,176.4602993024276
